bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1084,114,s1084-114,s,https://api.propublica.org/congress/v1/114/bills/s1084.json,PCAOB Enforcement Transparency Act of 2015,Sen.,R000122,Jack Reed,RI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1084,https://www.govtrack.us/congress/bills/114/s1084,2015-04-23,False,,,,,1,,1,"Senate Banking, Housing, and Urban Affairs Committee",['SSBK'],Finance and Financial Sector
s1085,114,s1085-114,s,https://api.propublica.org/congress/v1/114/bills/s1085.json,Military and Veteran Caregiver Services Improvement Act of 2015,Sen.,M001111,Patty Murray,WA,D,https://www.congress.gov/bill/114th-congress/senate-bill/1085,https://www.govtrack.us/congress/bills/114/s1085,2015-04-23,False,,,,,21,18,1,Senate Veterans' Affairs Committee,['SSVA'],Armed Forces and National Security
s1086,114,s1086-114,s,https://api.propublica.org/congress/v1/114/bills/s1086.json,International Insurance Capital Standards Accountability Act of 2015,Sen.,H001041,Dean Heller,NV,R,https://www.congress.gov/bill/114th-congress/senate-bill/1086,https://www.govtrack.us/congress/bills/114/s1086,2015-04-27,False,,,,,4,1,3,"Senate Banking, Housing, and Urban Affairs Committee",['SSBK'],Finance and Financial Sector
s1087,114,s1087-114,s,https://api.propublica.org/congress/v1/114/bills/s1087.json,Pets on Trains Act of 2015,Sen.,W000802,Sheldon Whitehouse,RI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1087,https://www.govtrack.us/congress/bills/114/s1087,2015-04-27,False,,,,,2,1,1,"Senate Commerce, Science, and Transportation Committee",['SSCM'],Transportation and Public Works
s1088,114,s1088-114,s,https://api.propublica.org/congress/v1/114/bills/s1088.json,Voter Registration Modernization Act,Sen.,G000555,Kirsten E. Gillibrand,NY,D,https://www.congress.gov/bill/114th-congress/senate-bill/1088,https://www.govtrack.us/congress/bills/114/s1088,2015-04-27,False,,,,,11,11,,Senate Rules and Administration Committee,['SSRA'],Government Operations and Politics
s1089,114,s1089-114,s,https://api.propublica.org/congress/v1/114/bills/s1089.json,Social Impact Partnership Act,Sen.,H000338,Orrin G. Hatch,UT,R,https://www.congress.gov/bill/114th-congress/senate-bill/1089,https://www.govtrack.us/congress/bills/114/s1089,2015-04-27,False,,,,,5,3,2,Senate Finance Committee,['SSFI'],Social Welfare
s1090,114,s1090-114,s,https://api.propublica.org/congress/v1/114/bills/s1090.json,Emergency Information Improvement Act of 2015,Sen.,B001288,Cory Booker,NJ,D,https://www.congress.gov/bill/114th-congress/senate-bill/1090,https://www.govtrack.us/congress/bills/114/s1090,2015-04-27,True,2015-12-16,2015-09-17,2015-12-17,,5,1,4,House Transportation and Infrastructure Committee,"['HSPW', 'SSGA']",Emergency Management
s1091,114,s1091-114,s,https://api.propublica.org/congress/v1/114/bills/s1091.json,A bill for the relief of Alfredo Plascencia Lopez.,Sen.,F000062,Dianne Feinstein,CA,D,https://www.congress.gov/bill/114th-congress/senate-bill/1091,https://www.govtrack.us/congress/bills/114/s1091,2015-04-27,False,,,,,0,,,Senate Judiciary Committee,['SSJU'],
s1092,114,s1092-114,s,https://api.propublica.org/congress/v1/114/bills/s1092.json,"A bill for the relief of Ruben Mkoian, Asmik Karapetian, and Arthur Mkoyan.",Sen.,F000062,Dianne Feinstein,CA,D,https://www.congress.gov/bill/114th-congress/senate-bill/1092,https://www.govtrack.us/congress/bills/114/s1092,2015-04-27,False,,,,,0,,,Senate Judiciary Committee,['SSJU'],
s1093,114,s1093-114,s,https://api.propublica.org/congress/v1/114/bills/s1093.json,"A bill for the relief of Jose Alberto Martinez Moreno, Micaela Lopez Martinez, and Adilene Martinez.",Sen.,F000062,Dianne Feinstein,CA,D,https://www.congress.gov/bill/114th-congress/senate-bill/1093,https://www.govtrack.us/congress/bills/114/s1093,2015-04-27,False,,,,,0,,,Senate Judiciary Committee,['SSJU'],
